waypoint1	waypoint2	distance_m	duration_s
North Park, San Diego, CA	East Austin, Austin, TX	2094224	65472
Capitol Hill, Seattle, WA	Westheimer Road, Houston, TX	3659779	123353
The Uptown, Oakland, CA	Hampden, Baltimore, MD	4520599	146057
Boulder, CO	Portland, ME	3352971	108321
East Nashville, Nashville, TN	Pearl District, Portland, OR	3778472	121345
Warehouse District, New Orleans, LALouisville, KY	Los Feliz, Los Angeles, CA	3518224	111002
Capitol Hill, Seattle, WA	Little Five Points, Atlanta, GA	4246792	138227
Capitol Hill, Seattle, WA	Northern Liberties, Philadelphia, PA	4554460	147877
Kansas City, MO	Northern Liberties, Philadelphia, PA	1813187	60713
Highland Park, Los Angeles, CA	Bushwick, Brooklyn, NY	4470901	144590
East Austin, Austin, TX	Pearl District, Portland, OR	3305326	112077
Little Five Points, Atlanta, GA	Charleston, SC	478328	16422
East Nashville, Nashville, TN	Wicker Park, Chicago, IL	760454	25638
North Park, San Diego, CA	North Loop, Minneapolis, MN	3197150	100990
The Uptown, Oakland, CA	Alberta, Portland, OR	1016878	34501
East Nashville, Nashville, TN	Arts District, Los Angeles, CA	3230670	101951
Capitol Hill, Seattle, WA	Alberta, Portland, OR	277365	9961
Warehouse District, New Orleans, LALouisville, KY	Charleston, SC	844408	27817
Savannah, GA	Arts District, Los Angeles, CA	3895883	123135
Charleston, SC	Alberta, Portland, OR	4658686	150287
Highland Park, Los Angeles, CA	Asheville, NC	3689228	117137
Williamsburg, Brooklyn, NY	Allston-Brighton, Boston, MA	337439	12654
Kansas City, MO	Pearl District, Portland, OR	2888960	92645
H Street Corridor, Washington, DC	Portland, ME	862250	30709
Providence, RI	LoHi, Denver, CO	3145965	101621
Highland Park, Los Angeles, CA	The Mission, San Francisco, CA	614975	20358
Little Five Points, Atlanta, GA	Savannah, GA	396561	12922
Little Five Points, Atlanta, GA	Wynwood, Miami, FL	1059163	33333
Williamsburg, Brooklyn, NY	Alberta, Portland, OR	4659659	151018
LoHi, Denver, CO	Asheville, NC	2327924	74162
Silver Lake, Los Angeles, CA	Wicker Park, Chicago, IL	3245780	103303
Capitol Hill, Seattle, WA	Boulder, CO	2088244	68971
Silver Lake, Los Angeles, CA	Allston-Brighton, Boston, MA	4797625	154218
Highland Park, Los Angeles, CA	Hampden, Baltimore, MD	4246230	136725
Wynwood, Miami, FL	Arts District, Los Angeles, CA	4390142	137436
Providence, RI	Downtown, Portland, OR	4945978	160079
Little Five Points, Atlanta, GA	Northern Liberties, Philadelphia, PA	1253715	42260
Boulder, CO	Northern Liberties, Philadelphia, PA	2835992	91201
Highland Park, Los Angeles, CA	Charleston, SC	3969389	126546
Wynwood, Miami, FL	Bushwick, Brooklyn, NY	2061008	67423
East Nashville, Nashville, TN	Asheville, NC	471642	15912
Warehouse District, New Orleans, LALouisville, KY	Wynwood, Miami, FL	1647452	52069
Providence, RI	North Loop, Minneapolis, MN	2225791	74510
Highland Park, Los Angeles, CA	East Nashville, Nashville, TN	3222645	101671
Kansas City, MO	Westheimer Road, Houston, TX	1202515	40241
The Uptown, Oakland, CA	Allston-Brighton, Boston, MA	4972376	159543
Bushwick, Brooklyn, NY	Alberta, Portland, OR	4663390	151507
Highland Park, Los Angeles, CA	Williamsburg, Brooklyn, NY	4467170	144101
Boulder, CO	The Uptown, Oakland, CA	1973098	64296
Highland Park, Los Angeles, CA	East Austin, Austin, TX	2227557	70281
North Loop, Minneapolis, MN	Charleston, SC	2126042	70104
Boulder, CO	Savannah, GA	2686326	85259
Warehouse District, New Orleans, LALouisville, KY	Northern Liberties, Philadelphia, PA	1020379	34100
Little Five Points, Atlanta, GA	LoHi, Denver, CO	2257474	71584
East Nashville, Nashville, TN	Allston-Brighton, Boston, MA	1772175	58846
Providence, RI	The Uptown, Oakland, CA	4954315	159224
North Park, San Diego, CA	LoHi, Denver, CO	1732092	55710
Highland Park, Los Angeles, CA	Downtown, Portland, OR	1550502	51049
Westheimer Road, Houston, TX	Hampden, Baltimore, MD	2344220	76188
Wicker Park, Chicago, IL	The Mission, San Francisco, CA	3430533	109238
Northern Liberties, Philadelphia, PA	Bushwick, Brooklyn, NY	160144	6805
Capitol Hill, Seattle, WA	Venice Beach, CA	1832676	61200
East Austin, Austin, TX	Alberta, Portland, OR	3302446	112203
Highland Park, Los Angeles, CA	Northern Liberties, Philadelphia, PA	4358317	139933
Venice Beach, CA	Arts District, Los Angeles, CA	28908	1655
Bushwick, Brooklyn, NY	Hampden, Baltimore, MD	325326	12281
Capitol Hill, Seattle, WA	Bushwick, Brooklyn, NY	4599268	150272
Providence, RI	Allston-Brighton, Boston, MA	87247	3469
Venice Beach, CA	Providence, RI	4805384	155372
East Austin, Austin, TX	Los Feliz, Los Angeles, CA	2230876	70700
North Park, San Diego, CA	Northern Liberties, Philadelphia, PA	4336690	141021
Providence, RI	Williamsburg, Brooklyn, NY	288726	10904
LoHi, Denver, CO	Northern Liberties, Philadelphia, PA	2779817	90447
Bushwick, Brooklyn, NY	The Mission, San Francisco, CA	4684006	151120
The Uptown, Oakland, CA	North Loop, Minneapolis, MN	3171980	102949
Somerville, MA	Bushwick, Brooklyn, NY	342289	13279
H Street Corridor, Washington, DC	Northern Liberties, Philadelphia, PA	220278	8482
Highland Park, Los Angeles, CA	Alberta, Portland, OR	1556486	51322
Venice Beach, CA	Wicker Park, Chicago, IL	3271600	104777
H Street Corridor, Washington, DC	Downtown, Portland, OR	4521498	146051
Westheimer Road, Houston, TX	Somerville, MA	2982853	98018
Providence, RI	Somerville, MA	87360	3768
Venice Beach, CA	Pearl District, Portland, OR	1554348	51464
North Park, San Diego, CA	Hampden, Baltimore, MD	4224603	137812
Capitol Hill, Seattle, WA	The Mission, San Francisco, CA	1301863	44354
Boulder, CO	Los Feliz, Los Angeles, CA	1659299	53970
East Austin, Austin, TX	Savannah, GA	1812205	59576
H Street Corridor, Washington, DC	North Park, San Diego, CA	4326851	136753
Highland Park, Los Angeles, CA	Boulder, CO	1646986	53490
Kansas City, MO	Warehouse District, New Orleans, LALouisville, KY	970996	31701
Capitol Hill, Seattle, WA	Hampden, Baltimore, MD	4444608	144779
Downtown, Portland, OR	The Mission, San Francisco, CA	1022156	34655
Boulder, CO	Bushwick, Brooklyn, NY	2894004	94137
East Austin, Austin, TX	East Nashville, Nashville, TN	1386628	44767
North Loop, Minneapolis, MN	Wicker Park, Chicago, IL	655670	22466
Kansas City, MO	Asheville, NC	1360140	44442
Wynwood, Miami, FL	Northern Liberties, Philadelphia, PA	1912434	61894
Savannah, GA	Northern Liberties, Philadelphia, PA	1148368	37887
Williamsburg, Brooklyn, NY	Wicker Park, Chicago, IL	1279130	43384
LoHi, Denver, CO	Allston-Brighton, Boston, MA	3164026	101941
Little Five Points, Atlanta, GA	Pearl District, Portland, OR	4175972	134353
Capitol Hill, Seattle, WA	East Nashville, Nashville, TN	3847257	125164
Downtown, Portland, OR	Alberta, Portland, OR	5590	649
Highland Park, Los Angeles, CA	Somerville, MA	4790797	154345
H Street Corridor, Washington, DC	Providence, RI	649123	23474
Savannah, GA	Wynwood, Miami, FL	776505	24614
East Nashville, Nashville, TN	Bushwick, Brooklyn, NY	1431166	47687
Los Feliz, Los Angeles, CA	Allston-Brighton, Boston, MA	4799998	154341
Allston-Brighton, Boston, MA	Alberta, Portland, OR	4961762	160540
Boulder, CO	The Mission, San Francisco, CA	1983100	64906
Savannah, GA	Hampden, Baltimore, MD	994710	32916
H Street Corridor, Washington, DC	Pearl District, Portland, OR	4522512	146083
Little Five Points, Atlanta, GA	Arts District, Los Angeles, CA	3504129	110850
Westheimer Road, Houston, TX	Wynwood, Miami, FL	1918950	60531
Providence, RI	Wynwood, Miami, FL	2342663	76626
LoHi, Denver, CO	Somerville, MA	3168962	102897
Capitol Hill, Seattle, WA	LoHi, Denver, CO	2116418	69008
Capitol Hill, Seattle, WA	Downtown, Portland, OR	280649	9999
Kansas City, MO	Portland, ME	2462554	81352
Westheimer Road, Houston, TX	Bushwick, Brooklyn, NY	2637511	86364
Boulder, CO	Arts District, Los Angeles, CA	1655011	53769
Kansas City, MO	Williamsburg, Brooklyn, NY	1922040	64880
Charleston, SC	Downtown, Portland, OR	4660963	150146
Los Feliz, Los Angeles, CA	The Mission, San Francisco, CA	608015	20113
Somerville, MA	Alberta, Portland, OR	4965718	161921
Kansas City, MO	Arts District, Los Angeles, CA	2602162	82025
Alberta, Portland, OR	The Mission, San Francisco, CA	1028139	34928
Allston-Brighton, Boston, MA	Downtown, Portland, OR	4964038	160399
H Street Corridor, Washington, DC	Warehouse District, New Orleans, LALouisville, KY	860073	29072
Silver Lake, Los Angeles, CA	Providence, RI	4779564	153899
Warehouse District, New Orleans, LALouisville, KY	Westheimer Road, Houston, TX	1636000	54790
Silver Lake, Los Angeles, CA	Northern Liberties, Philadelphia, PA	4368257	140291
East Nashville, Nashville, TN	Northern Liberties, Philadelphia, PA	1292726	42737
North Park, San Diego, CA	Bushwick, Brooklyn, NY	4449274	145677
Venice Beach, CA	Williamsburg, Brooklyn, NY	4502929	145932
Charleston, SC	Northern Liberties, Philadelphia, PA	1079773	36101
Hampden, Baltimore, MD	Alberta, Portland, OR	4511290	145920
Somerville, MA	Northern Liberties, Philadelphia, PA	492700	18426
H Street Corridor, Washington, DC	Bushwick, Brooklyn, NY	367954	14000
North Park, San Diego, CA	Wynwood, Miami, FL	4262417	132754
Highland Park, Los Angeles, CA	H Street Corridor, Washington, DC	4294554	136496
H Street Corridor, Washington, DC	Arts District, Los Angeles, CA	4302579	136776
LoHi, Denver, CO	Hampden, Baltimore, MD	2667953	87282
Portland, ME	LoHi, Denver, CO	3328439	107426
Highland Park, Los Angeles, CA	Wynwood, Miami, FL	4395750	137562
Savannah, GA	Somerville, MA	1629825	55311
Little Five Points, Atlanta, GA	The Uptown, Oakland, CA	3967978	126424
Highland Park, Los Angeles, CA	Portland, ME	4952098	159345
Little Five Points, Atlanta, GA	Hampden, Baltimore, MD	1100715	37270
Williamsburg, Brooklyn, NY	Los Feliz, Los Angeles, CA	4479483	144581
Boulder, CO	Downtown, Portland, OR	1964761	65152
Venice Beach, CA	The Uptown, Oakland, CA	602637	19963
East Nashville, Nashville, TN	Somerville, MA	1773394	59215
Venice Beach, CA	North Loop, Minneapolis, MN	3129237	99541
Venice Beach, CA	Kansas City, MO	2629896	83576
Highland Park, Los Angeles, CA	Kansas City, MO	2594137	81745
East Nashville, Nashville, TN	LoHi, Denver, CO	1857939	58521
Wicker Park, Chicago, IL	Alberta, Portland, OR	3407617	110121
Northern Liberties, Philadelphia, PA	Arts District, Los Angeles, CA	4366342	140212
Pearl District, Portland, OR	Savannah, GA	4572885	146780
Warehouse District, New Orleans, LALouisville, KY	Downtown, Portland, OR	3857977	124145
Providence, RI	Los Feliz, Los Angeles, CA	4781937	154021
H Street Corridor, Washington, DC	The Uptown, Oakland, CA	4528058	146356
East Austin, Austin, TX	Allston-Brighton, Boston, MA	3153745	103166
Savannah, GA	Bushwick, Brooklyn, NY	1297269	43690
Venice Beach, CA	North Park, San Diego, CA	207996	7790
Somerville, MA	Charleston, SC	1560903	53251
Wynwood, Miami, FL	The Mission, San Francisco, CA	4880595	156016
East Austin, Austin, TX	Downtown, Portland, OR	3305023	112041
Capitol Hill, Seattle, WA	Somerville, MA	4899677	159890
Warehouse District, New Orleans, LALouisville, KY	Allston-Brighton, Boston, MA	1475152	49824
North Park, San Diego, CA	Williamsburg, Brooklyn, NY	4445542	145188
H Street Corridor, Washington, DC	Westheimer Road, Houston, TX	2281484	74112
Providence, RI	Wicker Park, Chicago, IL	1563172	52586
Kansas City, MO	Alberta, Portland, OR	2885670	92755
