waypoint1	waypoint2	distance_m	duration_s
Warehouse District, New Orleans, LALouisville, KY	Williamsburg, Brooklyn, NY	1127680	38097
Providence, RI	Arts District, Los Angeles, CA	4777649	153820
Westheimer Road, Houston, TX	Arts District, Los Angeles, CA	2479239	77240
Portland, ME	Downtown, Portland, OR	5128452	165884
Hampden, Baltimore, MD	Downtown, Portland, OR	4513566	145779
Little Five Points, Atlanta, GA	Providence, RI	1682560	57252
Portland, ME	Northern Liberties, Philadelphia, PA	654994	23525
Little Five Points, Atlanta, GA	Williamsburg, Brooklyn, NY	1396546	47325
Portland, ME	Wynwood, Miami, FL	2555790	83861
Venice Beach, CA	Hampden, Baltimore, MD	4281989	138556
Los Feliz, Los Angeles, CA	Bushwick, Brooklyn, NY	4483214	145070
Allston-Brighton, Boston, MA	Asheville, NC	1459787	49214
North Loop, Minneapolis, MN	Wynwood, Miami, FL	2878839	92160
Venice Beach, CA	H Street Corridor, Washington, DC	4330313	138327
Los Feliz, Los Angeles, CA	Wynwood, Miami, FL	4399070	137982
Pearl District, Portland, OR	Downtown, Portland, OR	1238	174
Providence, RI	Pearl District, Portland, OR	4946992	160111
Little Five Points, Atlanta, GA	Alberta, Portland, OR	4172681	134462
Portland, ME	Alberta, Portland, OR	5126176	166025
Boulder, CO	Alberta, Portland, OR	1962485	65293
Silver Lake, Los Angeles, CA	LoHi, Denver, CO	1638359	52788
Pearl District, Portland, OR	Northern Liberties, Philadelphia, PA	4612487	148796
Little Five Points, Atlanta, GA	East Austin, Austin, TX	1487650	48784
Westheimer Road, Houston, TX	The Mission, San Francisco, CA	3092450	96895
Capitol Hill, Seattle, WA	Silver Lake, Los Angeles, CA	1825388	60525
Wicker Park, Chicago, IL	Hampden, Baltimore, MD	1130761	38286
Somerville, MA	Arts District, Los Angeles, CA	4798822	154624
Highland Park, Los Angeles, CA	North Park, San Diego, CA	198948	7505
Northern Liberties, Philadelphia, PA	Downtown, Portland, OR	4611473	148764
Capitol Hill, Seattle, WA	Arts District, Los Angeles, CA	1830306	60822
The Uptown, Oakland, CA	Wynwood, Miami, FL	4865884	155214
Providence, RI	Portland, ME	251222	9332
Kansas City, MO	Charleston, SC	1773982	57702
Highland Park, Los Angeles, CA	Capitol Hill, Seattle, WA	1830209	60749
Silver Lake, Los Angeles, CA	Los Feliz, Los Angeles, CA	3845	384
Silver Lake, Los Angeles, CA	Little Five Points, Atlanta, GA	3506044	110928
North Park, San Diego, CA	Alberta, Portland, OR	1746269	58223
Warehouse District, New Orleans, LALouisville, KY	Asheville, NC	430566	14557
LoHi, Denver, CO	Alberta, Portland, OR	1990660	65330
Wynwood, Miami, FL	Asheville, NC	1264084	40009
Kansas City, MO	Somerville, MA	2278233	76214
Williamsburg, Brooklyn, NY	Portland, ME	501853	18138
East Austin, Austin, TX	Northern Liberties, Philadelphia, PA	2674296	87057
Silver Lake, Los Angeles, CA	Savannah, GA	3897798	123213
Capitol Hill, Seattle, WA	North Loop, Minneapolis, MN	2666463	84911
East Austin, Austin, TX	Boulder, CO	1521239	51012
