waypoint1	waypoint2	distance_m	duration_s
Allston-Brighton, Boston, MA	Bushwick, Brooklyn, NY	338917	12868
Westheimer Road, Houston, TX	Portland, ME	3153991	103964
Portland, ME	Hampden, Baltimore, MD	816178	28561
Warehouse District, New Orleans, LALouisville, KY	Williamsburg, Brooklyn, NY	1127680	38689
Portland, ME	Asheville, NC	1624922	54680
Kansas City, MO	Wicker Park, Chicago, IL	824949	27562
North Loop, Minneapolis, MN	Somerville, MA	2237044	75326
Providence, RI	Bushwick, Brooklyn, NY	290267	11177
Portland, ME	Charleston, SC	1719996	57762
East Austin, Austin, TX	East Nashville, Nashville, TN	1390272	45389
North Loop, Minneapolis, MN	Wicker Park, Chicago, IL	655670	22326
Allston-Brighton, Boston, MA	Hampden, Baltimore, MD	651702	23084
Portland, ME	Allston-Brighton, Boston, MA	178322	6803
Wicker Park, Chicago, IL	Charleston, SC	1473627	48984
H Street Corridor, Washington, DC	Allston-Brighton, Boston, MA	695858	24965
Warehouse District, New Orleans, LALouisville, KY	Wicker Park, Chicago, IL	640285	21731
East Nashville, Nashville, TN	Westheimer Road, Houston, TX	1286588	44440
Wicker Park, Chicago, IL	Allston-Brighton, Boston, MA	1581217	53051
Asheville, NC	Bushwick, Brooklyn, NY	1117986	39021
East Nashville, Nashville, TN	Portland, ME	1940223	64812
Kansas City, MO	Williamsburg, Brooklyn, NY	1922045	65298
H Street Corridor, Washington, DC	Providence, RI	649123	23340
East Austin, Austin, TX	Westheimer Road, Houston, TX	246394	8635
Savannah, GA	Wynwood, Miami, FL	776374	24645
North Loop, Minneapolis, MN	Bushwick, Brooklyn, NY	1946616	66570
East Nashville, Nashville, TN	Bushwick, Brooklyn, NY	1435939	49031
East Austin, Austin, TX	Portland, ME	3318158	109062
Kansas City, MO	North Loop, Minneapolis, MN	704136	22749
Westheimer Road, Houston, TX	Savannah, GA	1573425	52284
East Nashville, Nashville, TN	Charleston, SC	889117	29863
Savannah, GA	Hampden, Baltimore, MD	994711	32924
Portland, ME	Savannah, GA	1788426	59638
East Austin, Austin, TX	Wicker Park, Chicago, IL	1875140	60767
Westheimer Road, Houston, TX	Wynwood, Miami, FL	1927148	61075
Williamsburg, Brooklyn, NY	North Loop, Minneapolis, MN	1941751	65807
Providence, RI	Wynwood, Miami, FL	2342663	76214
Kansas City, MO	Northern Liberties, Philadelphia, PA	1813188	60733
Savannah, GA	Wicker Park, Chicago, IL	1543030	50966
East Austin, Austin, TX	Asheville, NC	1853211	60755
Little Five Points, Atlanta, GA	Providence, RI	1682737	57019
East Austin, Austin, TX	Somerville, MA	3156713	104333
Warehouse District, New Orleans, LALouisville, KY	Savannah, GA	913811	30122
Westheimer Road, Houston, TX	Bushwick, Brooklyn, NY	2646907	87996
North Loop, Minneapolis, MN	Asheville, NC	1712201	56850
Northern Liberties, Philadelphia, PA	Hampden, Baltimore, MD	176197	6659
East Nashville, Nashville, TN	Asheville, NC	475276	16505
Little Five Points, Atlanta, GA	Warehouse District, New Orleans, LALouisville, KY	587808	19467
Warehouse District, New Orleans, LALouisville, KY	North Loop, Minneapolis, MN	1292700	42955
Warehouse District, New Orleans, LALouisville, KY	Wynwood, Miami, FL	1647452	52090
Wynwood, Miami, FL	Charleston, SC	936497	30533
Providence, RI	Asheville, NC	1401253	47572
East Nashville, Nashville, TN	Savannah, GA	800287	26228
Kansas City, MO	Providence, RI	2207525	74735
Allston-Brighton, Boston, MA	Asheville, NC	1460445	49203
North Loop, Minneapolis, MN	Wynwood, Miami, FL	2878839	91665
Williamsburg, Brooklyn, NY	Westheimer Road, Houston, TX	2641664	87094
Wicker Park, Chicago, IL	Somerville, MA	1583782	53685
Williamsburg, Brooklyn, NY	Hampden, Baltimore, MD	322535	12047
Warehouse District, New Orleans, LALouisville, KY	Bushwick, Brooklyn, NY	1132924	39592
Westheimer Road, Houston, TX	North Loop, Minneapolis, MN	1911413	63426
East Austin, Austin, TX	Warehouse District, New Orleans, LALouisville, KY	1751125	57313
Charleston, SC	Northern Liberties, Philadelphia, PA	1079773	36036
East Nashville, Nashville, TN	Providence, RI	1716554	57704
East Austin, Austin, TX	Charleston, SC	2020667	65810
Little Five Points, Atlanta, GA	East Nashville, Nashville, TN	405130	13944
Somerville, MA	Northern Liberties, Philadelphia, PA	492699	18597
H Street Corridor, Washington, DC	Bushwick, Brooklyn, NY	370556	14492
Little Five Points, Atlanta, GA	Somerville, MA	1736006	59348
East Austin, Austin, TX	Hampden, Baltimore, MD	2518398	82465
Little Five Points, Atlanta, GA	East Austin, Austin, TX	1499528	49555
Wicker Park, Chicago, IL	Hampden, Baltimore, MD	1131026	38789
Portland, ME	Wicker Park, Chicago, IL	1745693	58527
Williamsburg, Brooklyn, NY	Bushwick, Brooklyn, NY	4046	941
Wynwood, Miami, FL	Asheville, NC	1264084	40061
North Loop, Minneapolis, MN	Allston-Brighton, Boston, MA	2243789	74654
Charleston, SC	Hampden, Baltimore, MD	925788	30986
Warehouse District, New Orleans, LALouisville, KY	Allston-Brighton, Boston, MA	1475089	49911
Savannah, GA	Somerville, MA	1629826	55016
Savannah, GA	Charleston, SC	171048	6857
Providence, RI	Warehouse District, New Orleans, LALouisville, KY	1415897	48280
Northern Liberties, Philadelphia, PA	Asheville, NC	981135	33215
Providence, RI	Portland, ME	262067	9384
Kansas City, MO	Charleston, SC	1773982	58029
Little Five Points, Atlanta, GA	Portland, ME	1893948	64120
Little Five Points, Atlanta, GA	Hampden, Baltimore, MD	1100891	37257
Kansas City, MO	Somerville, MA	2299713	76267
East Nashville, Nashville, TN	Somerville, MA	1777026	59855
H Street Corridor, Washington, DC	North Loop, Minneapolis, MN	1801311	60607
Little Five Points, Atlanta, GA	Charleston, SC	493668	16819
Kansas City, MO	Little Five Points, Atlanta, GA	1288153	42052
Warehouse District, New Orleans, LALouisville, KY	Somerville, MA	1477068	50461
East Nashville, Nashville, TN	Wicker Park, Chicago, IL	762676	25825
H Street Corridor, Washington, DC	Warehouse District, New Orleans, LALouisville, KY	860073	29368
Williamsburg, Brooklyn, NY	Asheville, NC	1112743	38119
Allston-Brighton, Boston, MA	Somerville, MA	6278	1172
Portland, ME	Northern Liberties, Philadelphia, PA	653115	23373
Williamsburg, Brooklyn, NY	Portland, ME	501853	18226
East Austin, Austin, TX	Allston-Brighton, Boston, MA	3153681	103586
Kansas City, MO	Asheville, NC	1360140	44671
Savannah, GA	Bushwick, Brooklyn, NY	1299872	43935
East Austin, Austin, TX	Northern Liberties, Philadelphia, PA	2674371	87598
Somerville, MA	Charleston, SC	1560903	53077
Warehouse District, New Orleans, LALouisville, KY	Charleston, SC	844408	28141
Wynwood, Miami, FL	Northern Liberties, Philadelphia, PA	1912434	61674
East Austin, Austin, TX	Providence, RI	3094489	101955
East Nashville, Nashville, TN	Northern Liberties, Philadelphia, PA	1296436	43347
H Street Corridor, Washington, DC	Westheimer Road, Houston, TX	2293594	75097
Williamsburg, Brooklyn, NY	Allston-Brighton, Boston, MA	337376	12749
H Street Corridor, Washington, DC	Wynwood, Miami, FL	1690602	53857
Providence, RI	Wicker Park, Chicago, IL	1563219	52826
Williamsburg, Brooklyn, NY	Charleston, SC	1227739	41209
Little Five Points, Atlanta, GA	Savannah, GA	396716	13084
Little Five Points, Atlanta, GA	Wynwood, Miami, FL	1059057	33396
Kansas City, MO	Savannah, GA	1685151	54394
